"Nr. comanda","Cod produs","UM","Denumire","Cantitate","Destinatar","Adresa de livrare","Cod postal","Oras","Judet","Tara","Persoana de contact","Telefon"
"nr. 1073","ZTBAX0008","ZTBAX0008","6 buc./bax pulpe de MIEL","3","V.L.B. TOUR S.R.L. - Club VILA BRAN","str. Alunis nr.9","507025 ","Bran","Brasov","Romania","Cristina Oprea","+40 741 102 266 "
"nr. 1073","ZTBAX0001","ZTBAX0001","25 buc./bax  CIOLANE de PORC","4","V.L.B. TOUR S.R.L. - Club VILA BRAN","str. Alunis nr.9","507025 ","Bran","Brasov","Romania","Cristina Oprea","+40 741 102 266 "
"nr. 1073","ZTBAX0002KG328","ZTBAX0002KG328","6 buc./bax  COASTE de PORC - LEVONI","1","V.L.B. TOUR S.R.L. - Club VILA BRAN","str. Alunis nr.9","507025 ","Bran","Brasov","Romania","Cristina Oprea","+40 741 102 266 "
"nr. 1073","ZTBAX0004","ZTBAX0004","25 buc./bax  pulpe de CURCAN","3","V.L.B. TOUR S.R.L. - Club VILA BRAN","str. Alunis nr.9","507025 ","Bran","Brasov","Romania","Cristina Oprea","+40 741 102 266 "
"nr. 1073","ZTBAX0002KG283","ZTBAX0002KG283","6 buc./bax  COASTE de PORC - LEVONI","1","V.L.B. TOUR S.R.L. - Club VILA BRAN","str. Alunis nr.9","507025 ","Bran","Brasov","Romania","Cristina Oprea","+40 741 102 266 "
"nr. 1072","ZTBAX0001","ZTBAX0001","25 buc./bax  CIOLANE de PORC","1","OLD RED S.R.L. - OLD RED PUB","Str. Calea Vacaresti nr.230, sector 4","040057 ","Bucuresti","Bucuresti","Romania","Agapie Bogdan","+40 725 619 600 "
"nr. 1071","ZTBAX0011","ZTBAX0011","6 buc./bax  pulpe de RATA dubla","2","KASTEPHY COM S.R.L.","str. Golesti nr.27","100032 ","Ploiesti","Prahova","Romania","Stefan Radulescu","+40 722 664 489 "
"nr. 1071","ZTBAX0002KG395","ZTBAX0002KG395","6 buc./bax  COASTE de PORC - LEVONI","1","KASTEPHY COM S.R.L.","str. Golesti nr.27","100032 ","Ploiesti","Prahova","Romania","Stefan Radulescu","+40 722 664 489 "
"nr. 1071","ZTBAX0002KG384","ZTBAX0002KG384","6 buc./bax  COASTE de PORC - LEVONI","1","KASTEPHY COM S.R.L.","str. Golesti nr.27","100032 ","Ploiesti","Prahova","Romania","Stefan Radulescu","+40 722 664 489 "
"nr. 1071","ZTBAX0002KG365","ZTBAX0002KG365","6 buc./bax  COASTE de PORC - LEVONI","1","KASTEPHY COM S.R.L.","str. Golesti nr.27","100032 ","Ploiesti","Prahova","Romania","Stefan Radulescu","+40 722 664 489 "
"nr. 1070","ZTBAX0008","ZTBAX0008","6 buc./bax pulpe de MIEL","8","GALERIA BRAN S.R.L. - Restaurant GALERIA BRAN","Str. Principala nr. 502 A","507025 ","Bran","Brasov","Romania","Carmen Vlad","+40 730 188 883 "
"nr. 1069","ZTBAX0008","ZTBAX0008","6 buc./bax pulpe de MIEL","2","EVO MEDIA FOOD S.R.L. - Restaurant BISTRO EVO","Bd. Tomis, nr. 23","900742 ","Constanta","Constanta","Romania","Sebastian Dumitrescu","+40 734 354 685 "
"nr. 1069","ZTBAX0006","ZTBAX0006","6 buc./bax CIOLANE de PORC","1","EVO MEDIA FOOD S.R.L. - Restaurant BISTRO EVO","Bd. Tomis, nr. 23","900742 ","Constanta","Constanta","Romania","Sebastian Dumitrescu","+40 734 354 685 "
"nr. 1065","ZTBAX0008","ZTBAX0008","6 buc./bax pulpe de MIEL","2","CHERHANA CHEVALET S.R.L. - Restaurant CHEVALET","bd Tomis, nr. 500, km 7 Constanta-Ovidiu incinta Popas Cismea","900519 ","Constanta","Constanta","Romania","Nelu Pauca","+40 721 421 501 "
"nr. 1065","ZTBAX0001","ZTBAX0001","25 buc./bax  CIOLANE de PORC","1","CHERHANA CHEVALET S.R.L. - Restaurant CHEVALET","bd Tomis, nr. 500, km 7 Constanta-Ovidiu incinta Popas Cismea","900519 ","Constanta","Constanta","Romania","Nelu Pauca","+40 721 421 501 "
"nr. 1062","ZTBAX0006","ZTBAX0006","6 buc./bax CIOLANE de PORC","1","ALEXIA FRESH FOOD S.R.L. - Catering","Aleea Diham nr.1, sector 2","022161 ","Bucuresti","Bucuresti","Romania","Georgiana Raluca","+40 758 733 446 "
"nr. 1062","ZTBAX0010","ZTBAX0010","6 buc./bax pulpe de CURCAN","1","ALEXIA FRESH FOOD S.R.L. - Catering","Aleea Diham nr.1, sector 2","022161 ","Bucuresti","Bucuresti","Romania","Georgiana Raluca","+40 758 733 446 "
"nr. 1060","ZTBAX0010","ZTBAX0010","6 buc./bax pulpe de CURCAN","2","PREGO RISTORANTE S.R.L. - Restaurant BELMONDO HERASTRAU","Sos Nordului nr. 7-9 Herastrau, sector 1","14102 ","Bucuresti","Bucuresti","Romania","Cornel Meirosu","+40 728 941 023 "
"nr. 1060","ZTBAX0002KG375","ZTBAX0002KG375","6 buc./bax  COASTE de PORC - LEVONI","1","PREGO RISTORANTE S.R.L. - Restaurant BELMONDO HERASTRAU","Sos Nordului nr. 7-9 Herastrau, sector 1","14102 ","Bucuresti","Bucuresti","Romania","Cornel Meirosu","+40 728 941 023 "
"nr. 1060","ZTBAX0002KG386","ZTBAX0002KG386","6 buc./bax  COASTE de PORC - LEVONI","1","PREGO RISTORANTE S.R.L. - Restaurant BELMONDO HERASTRAU","Sos Nordului nr. 7-9 Herastrau, sector 1","14102 ","Bucuresti","Bucuresti","Romania","Cornel Meirosu","+40 728 941 023 "
"nr. 1060","ZTBAX0002KG399","ZTBAX0002KG399","6 buc./bax  COASTE de PORC - LEVONI","1","PREGO RISTORANTE S.R.L. - Restaurant BELMONDO HERASTRAU","Sos Nordului nr. 7-9 Herastrau, sector 1","14102 ","Bucuresti","Bucuresti","Romania","Cornel Meirosu","+40 728 941 023 "
"nr. 1059","ZTBAX0002KG376","ZTBAX0002KG376","6 buc./bax  COASTE de PORC - LEVONI","1","KASTEPHY COM S.R.L.","str. Golesti nr.27","100032 ","Ploiesti","Prahova","Romania","Stefan Radulescu","+40722664489 "
"nr. 1059","ZTBAX0002KG396","ZTBAX0002KG396","6 buc./bax  COASTE de PORC - LEVONI","1","KASTEPHY COM S.R.L.","str. Golesti nr.27","100032 ","Ploiesti","Prahova","Romania","Stefan Radulescu","+40722664489 "
"nr. 1057","ZTBAX0011","ZTBAX0011","6 buc./bax  pulpe de RATA dubla","1","TEATRUL BERARILOR S.R.L. - Beraria CURTEA BERARILOR TIMISOREANA","Kogalniceanu Mihail, nr. 52","100042 ","Ploiesti","Prahova","Romania","Stefan Radulescu","+40 722 664 489 "
"nr. 1057","ZTBAX0001","ZTBAX0001","25 buc./bax  CIOLANE de PORC","1","TEATRUL BERARILOR S.R.L. - Beraria CURTEA BERARILOR TIMISOREANA","Kogalniceanu Mihail, nr. 52","100042 ","Ploiesti","Prahova","Romania","Stefan Radulescu","+40 722 664 489 "
"nr. 1057","ZTBAX0002KG367","ZTBAX0002KG367","6 buc./bax  COASTE de PORC - LEVONI","1","TEATRUL BERARILOR S.R.L. - Beraria CURTEA BERARILOR TIMISOREANA","Kogalniceanu Mihail, nr. 52","100042 ","Ploiesti","Prahova","Romania","Stefan Radulescu","+40 722 664 489 "
